"fecha","variable","valor usd oficial","porcentaje","total"
"2024-01-31","EG GASTOS","12518.9","1.16807","1071760"
"2024-01-31","ITEC GASTOS","2769","0.290312","953800"
"2024-01-31","ITEC ACTIVOS","973565","102.072","953800"
"2024-01-31","ITEC TOTAL","953800","100","953800"
"2024-01-31","EG SERVICIOS","911.489","0.085046","1071760"
"2024-01-31","ITEC COMPRAS","53924.2","5.65362","953800"
"2024-01-31","ITEC PEDIDOS PENDIENTES","0","0","953800"
"2024-01-31","ITEC IMPUESTOS","2241","0.234955","953800"
"2024-02-29","EG BANCO FUTURO","-38665.9","-3.3584","1151330"
"2024-02-29","EG SUELDOS","0","0","1151330"
"2024-02-29","ITEC DEUDAS FISCALES","395.55","0.0474","835093"
"2024-02-29","EG CUENTAS","-25166.3","-2.1859","1151330"
"2024-02-29","EG COMPRAS","209393","18.1871","1151330"
"2024-02-29","EG TOTAL","1151330","100","1151330"
"2024-02-29","ITEC CAJA","87.79","0.0105","835093"
"2024-02-29","ITEC SERVICIOS","870","0.1042","835093"
"2024-02-29","ITEC GASTOS","870","0.1042","835093"
"2024-02-29","ITEC BANCO FUTURO","-27256.9","-3.2639","835093"
"2024-02-29","ITEC DEUDAS PROVEEDORES","33721","4.038","835093"
"2024-02-29","ITEC PASIVOS","34591","4.1422","835093"
"2024-02-29","EG CAJA USD","56501.8","4.9075","1151330"
"2024-02-29","ITEC COMPRAS","44246.6","5.2984","835093"
"2024-02-29","ITEC TOTAL","835093","100","835093"
"2024-02-29","EG PASIVOS","145714","12.6561","1151330"
"2024-02-29","ITEC PEDIDOS PENDIENTES","0","0","835093"
"2024-02-29","ITEC GASTOS INFRAESTRUCTURA","870","0.1042","835093"
"2024-02-29","ITEC ACTIVOS","869684","104.142","835093"
"2024-02-29","ITEC VENTAS","23724.2","2.8409","835093"
"2024-02-29","EG PEDIDOS PENDIENTES","38614.1","3.3539","1151330"
"2024-02-29","EG CAJA","1737.5","0.1509","1151330"
"2024-02-29","EG DEUDAS PROVEEDORES","119060","10.3411","1151330"
"2024-02-29","EG DEUDAS FISCALES","3174.24","0.2757","1151330"
"2024-02-29","EG ACTIVOS","1297050","112.657","1151330"
"2024-02-29","EG VENTAS","127569","11.0801","1151330"
"2024-02-29","EG SERVICIOS","894.27","0.0777","1151330"
"2024-02-29","ITEC DEUDAS CLIENTES","5878.41","0.7039","835093"
"2024-02-29","ITEC IMPUESTOS","0","0","835093"
"2024-02-29","ITEC CUENTAS","-41756.3","-5.0002","835093"
"2024-02-29","ITEC STOCK","876849","105","835093"
"2024-02-29","ITEC CAJA USD","14125.4","1.6915","835093"
"2024-02-29","EG STOCK","1176500","102.186","1151330"
"2024-02-29","EG DEUDAS CLIENTES","62360.7","5.4164","1151330"
"2024-02-29","EG GASTOS INFRAESTRUCTURA","13774.4","1.1964","1151330"
"2024-02-29","EG IMPUESTOS","12880.1","1.1187","1151330"
"2024-02-29","EG GASTOS","13774.4","1.1964","1151330"
"2024-02-29","ITEC SUELDOS","0","0","835093"
"2024-03-31","ITEC SERVICIOS","0","0","816894"
"2024-03-31","EG CUENTAS","91451.5","6.8631","1332510"
"2024-03-31","EG GASTOS","0","0","1332510"
"2024-03-31","ITEC DEUDAS PROVEEDORES","31885.7","3.9033","816894"
"2024-03-31","EG TOTAL","1332510","100","1332510"
"2024-03-31","ITEC STOCK","842864","103.179","816894"
"2024-03-31","ITEC PEDIDOS PENDIENTES","0","0","816894"
"2024-03-31","EG PEDIDOS PENDIENTES","40228.1","3.019","1332510"
"2024-03-31","EG CAJA USD","42571","3.1948","1332510"
"2024-03-31","ITEC TOTAL","816894","100","816894"
"2024-03-31","ITEC IMPUESTOS","0","0","816894"
"2024-03-31","ITEC ACTIVOS","848780","103.903","816894"
"2024-03-31","EG DEUDAS PROVEEDORES","65283.4","4.8993","1332510"
"2024-03-31","ITEC DEUDAS CLIENTES","4844.11","0.593","816894"
"2024-03-31","ITEC SUELDOS","0","0","816894"
"2024-03-31","ITEC GASTOS","0","0","816894"
"2024-03-31","ITEC CUENTAS","-25970.2","-3.1791","816894"
"2024-03-31","EG DEUDAS CLIENTES","86152.9","6.4655","1332510"
"2024-03-31","EG VENTAS","167654","12.5818","1332510"
"2024-03-31","ITEC CAJA USD","10642.8","1.3028","816894"
"2024-03-31","EG BANCO FUTURO","-12401.6","-0.9307","1332510"
"2024-03-31","EG GASTOS INFRAESTRUCTURA","0","0","1332510"
"2024-03-31","EG IMPUESTOS","0","0","1332510"
"2024-03-31","EG ACTIVOS","1397790","104.899","1332510"
"2024-03-31","ITEC GASTOS INFRAESTRUCTURA","0","0","816894"
"2024-03-31","EG SERVICIOS","0","0","1332510"
"2024-03-31","ITEC COMPRAS","39368.4","4.8193","816894"
"2024-03-31","ITEC VENTAS","48440","5.9298","816894"
"2024-03-31","ITEC BANCO FUTURO","-9599.78","-1.1752","816894"
"2024-03-31","ITEC DEUDAS FISCALES","4684.84","0.5735","816894"
"2024-03-31","EG CAJA","184.55","0.0138","1332510"
"2024-03-31","EG DEUDAS FISCALES","2889.36","0.2168","1332510"
